Query 2; Tempo: 462.73088455200195; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 381.427526473999; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 394.05202865600586; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 397.8860378265381; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 407.7491760253906; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 401.7660617828369; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 392.3652172088623; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 343.19233894348145; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 397.83334732055664; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 350.4014015197754; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 362.5054359436035; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 388.06867599487305; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 406.4900875091553; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 434.3721866607666; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 459.41901206970215; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 388.8392448425293; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 359.58242416381836; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 390.15841484069824; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 535.9408855438232; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 454.81395721435547; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 379.4527053833008; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 429.8515319824219; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 368.99375915527344; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 339.89644050598145; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 374.1755485534668; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 467.714786529541; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 380.24449348449707; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 460.8774185180664; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 416.5472984313965; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 335.39772033691406; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 370.91970443725586; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 376.9416809082031; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 410.79115867614746; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 366.7774200439453; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 396.0294723510742; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 440.01078605651855; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 370.9149360656738; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 414.1213893890381; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 356.37617111206055; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 426.70512199401855; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 365.1130199432373; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 389.4033432006836; Payload Request: 115; Payload Response: 13861
Query 3; Tempo: 893.6233520507812; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 856.0612201690674; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 940.7908916473389; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 957.3915004730225; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 906.1260223388672; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 907.04345703125; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 950.8566856384277; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 1005.2337646484375; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 854.4728755950928; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 777.7612209320068; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 871.3808059692383; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 951.1432647705078; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 853.6679744720459; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 965.050458908081; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 894.376277923584; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 837.4366760253906; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 843.7108993530273; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 908.8597297668457; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 900.6478786468506; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 1016.7324542999268; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 892.8422927856445; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 913.6977195739746; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 1023.3826637268066; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 1038.158893585205; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 978.9416790008545; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 1139.796495437622; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 948.2951164245605; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 824.3305683135986; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 920.2072620391846; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 882.9405307769775; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 896.9466686248779; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 1272.334337234497; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 867.3057556152344; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 843.1305885314941; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 891.9954299926758; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 876.9090175628662; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 842.6713943481445; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 912.106990814209; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 901.6988277435303; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 903.9082527160645; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 908.8523387908936; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 822.3185539245605; Payload Request: 252; Payload Response: 49080
