Query 2; Tempo: 248.80170822143555; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 326.1992931365967; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 207.12852478027344; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 374.7701644897461; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 433.9122772216797; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 340.67630767822266; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 305.1168918609619; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 323.80127906799316; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 328.2809257507324; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 242.70153045654297; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 383.99791717529297; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 288.8765335083008; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 252.1383762359619; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 234.15660858154297; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 209.52653884887695; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 306.2744140625; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 222.14722633361816; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 202.20208168029785; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 284.3589782714844; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 230.03792762756348; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 218.89328956604004; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 1207.1497440338135; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 257.45439529418945; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 205.5983543395996; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 211.3351821899414; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 378.617525100708; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 268.04447174072266; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 294.3849563598633; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 333.5833549499512; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 214.31970596313477; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 275.19750595092773; Payload Request: 361; Payload Response: 2482
