Query 2; Tempo: 392.722299ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 313.193834ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 387.100052ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 352.643521ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 331.639765ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 330.520471ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 274.15405ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 339.752138ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 347.184735ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 475.265294ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 300.367436ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 358.920429ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 354.348807ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 326.605091ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 400.688825ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 326.885966ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 330.541126ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 315.524292ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 318.056637ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 360.165406ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 321.325818ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 332.533933ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 367.383435ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 333.139761ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 357.254305ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 340.279584ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 387.042271ms; Payload Request: 115; Payload Response: 15954
