Query 3; Tempo: 510.210576ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 509.950087ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 467.41304ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 509.750022ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 494.164224ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 635.627905ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 497.053131ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 448.365628ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 502.462533ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 510.988193ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 637.632995ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 567.105522ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 496.215207ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 477.009944ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 435.923082ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 540.753957ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 519.694961ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 498.537386ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 468.481242ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 559.729825ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 473.543436ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 544.035868ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 541.364082ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 486.094227ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 463.398779ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 489.526098ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 510.534523ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 490.201865ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 485.165273ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 1.298173608s; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 767.835036ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 613.848209ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 498.061844ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 549.761492ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 520.726932ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 553.608708ms; Payload Request: 638; Payload Response: 3000
